,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
PIGR,0.6658996202487062,0.16000164825749916,0.0,0.07243810087934124,0.0,0.0,0.0,0.0,0.12125789240940185,0.03710982623040498,0.2314212808444259,0.0,0.0,0.20192785671672492,0.16608036292982958
REG1A,0.5155393150829708,-0.0033776609557440713,-0.008701860748843807,0.0,0.0,0.02308113351691677,0.0033222591362127053,-0.012490340004055269,0.0,0.19299238569216412,0.07723929507423265,-0.001998982079031747,-0.0039573838231621895,0.5631589483889861,0.0
MUC12,0.5062229313391197,0.0,-0.00574604583532741,0.0,0.0,0.0,0.0,0.0,0.0,0.03636890437746322,0.07003626326577801,0.0,0.0,0.10200283766337931,0.0
PLA2G2A,0.4666872738259792,-0.00773953509609932,0.0,0.02217703905512271,0.0,0.3903143214580782,0.0,-0.005062819180187143,0.0,0.0,0.0,0.0,-0.002201860881104946,0.017668803542269285,0.0
FCGBP,0.46310758176582234,0.0,0.0,-0.0008336172522775156,0.0,0.0,0.0,0.0,0.0,-0.01108093831847101,0.0,0.0,-0.0035048978252986565,0.032517755773614654,0.06842883176428563
DES,0.4468446021322635,-0.003958631031833339,-0.009726161003540932,0.0707193110934629,0.09710266343034907,0.0137685486002843,0.0,-0.00382564287973968,-0.007542258587816743,0.04049639540947085,0.010317629909345183,0.0,0.11030902150419757,0.025591219178509816,0.04416608938048918
MUC2,0.42257041799521655,0.0,0.0,-0.002047780966157078,0.0,0.22492936432798435,0.0,0.0,0.0,-0.0028361417174550185,0.04438309762079966,0.0,0.0003698635286837512,0.045735339327713814,0.16309273697412024
IGKC,0.39429237154244856,0.0,0.14713604393261603,0.29468932037556456,0.3620925575399511,0.09675533962936438,0.041925169319870344,0.0,0.21975125843848384,0.14281795221048935,0.0,0.031181010876868174,0.1926525087031498,0.10617939473635898,0.21336432090746563
COL1A1,0.38871820550264036,0.0,0.0,0.0,0.0,-0.0034590937861529105,0.0,0.0,0.20417812630589838,0.0,0.14345555947434635,0.0,0.05715507693457145,0.06146337779558354,0.15332526765764984
COL3A1,0.3767349963485371,0.09637946467344087,0.0,0.0,0.0,0.009100307829730694,0.0,0.0,0.0,0.0,0.1885883909907488,0.0,0.113938856043744,0.07406652784769893,0.15849848470276998
