,All,B,DC,Fibroblast,Gliacyte,Intestinal Epithelial,Lymphatic EC,Mast,Mono/Macro,Pericyte,Plasma,SMC,T,Tumor,Vascular EC
PIGR,0.6483409634221525,0.032615126868661394,0.0,0.1728147904186291,0.0,0.0,-0.0028153153153153187,0.0,0.1490555597389129,0.23701117475948666,0.27081076351148475,0.0,0.0,0.30131948933974895,0.17427304788921874
OLFM4,0.5467478488084732,0.0,0.0,0.0,-0.013659124166257816,0.5160547242505735,-0.005793714651009191,-0.019985196276609125,0.0,0.12237692340487075,0.06140669322652815,0.0,0.0,0.40795258645631505,0.0
REG1A,0.5030588774997897,0.0,-0.002374427734540324,0.13965326329764743,0.0,0.037274370381904016,-0.005066526330058095,0.0,0.0,0.0,0.07852502139858014,0.0,-0.0029252211673303887,0.5359654409807586,0.004303538993061495
MUC12,0.49661804760305117,0.0,0.00882773395019801,0.0,-0.00941351456249828,0.0,-0.0016891891891892255,0.0,0.0,0.012278893173966493,0.12650008993086073,0.0,0.02443958753792875,0.11729251985031527,0.046836099071334576
PLA2G2A,0.45119670048412963,0.0,0.0,0.036557557263354905,0.0,0.36845052584033533,0.0,0.0,0.0,0.0,0.11814718108683908,0.0,0.0,0.0303275676630808,0.057637599264827345
DMBT1,0.4507848660793633,-0.0023625322917358435,0.06378298831879269,0.0,-0.0037593984962406663,0.0,-0.007743970252217342,0.0,0.0,0.0,0.04899824932871955,-0.0010948062859426771,0.0,0.45473746186170266,0.0
FCGBP,0.4478369901594659,0.0,-0.0034238413663811133,0.011637970894224468,0.0,0.19799208644735178,0.0,-0.005515293073920574,0.0,0.0,0.08546694655755491,0.0,-0.005592279822020622,0.0730776495143994,0.0
DES,0.43055409951804596,-0.006621216895785646,-0.006145107347764898,0.05991084939313029,0.004590458730329543,0.008589107786997336,0.04850678383893267,0.0,0.04422532546731874,0.014707759339536833,0.05231535098864623,0.0,0.0,0.02902138206411863,0.04056813545398995
MUC2,0.41596612614856343,0.0,0.0,0.038560651573735054,0.0,0.22430311267956118,0.0,0.0,0.01239797113617404,-0.01029494297705446,0.0,0.0,-0.0019231762423640038,0.11754623019502285,0.0
COL1A1,0.3706035883867341,0.0,0.0,0.0,0.0,0.004518669519942995,0.0,0.0,0.18930804642568497,0.0,0.1768434599841255,0.0,0.16878693885610271,0.05879577597107453,0.15103263415418186
COL3A1,0.3629213360443914,0.06680258682938642,0.13923344662196496,0.0,0.0,0.004289694311614446,0.0,0.0,0.0,0.0,0.18455894758769525,0.0,0.22104841352600077,0.0708652232270032,0.2254114825196751
IGKC,0.3582726579864876,0.19249977169173965,0.11551042387539276,0.24145362671846654,0.22451709868151584,0.10122614940421507,0.09434542610273995,0.0,0.18441587721039412,0.15576393286298246,0.0,0.23660121753013313,0.169294298893853,0.08084716762606226,0.1727403559654154
MYH11,0.3208902603029718,0.060192140303399734,-0.009914349018982345,0.03363974313944454,0.0,0.02346428853402736,0.0,0.0,0.03265444300647575,0.026268661454683383,0.01569722182694048,0.0,-0.007115272205678394,-0.0005105615981406351,0.0
COL1A2,0.3140799175660531,0.0,0.0,0.0,0.01805723690699003,0.0,0.0,0.0,0.0,0.0,0.10760436972125868,0.0,0.09938035145510221,0.0495770578302503,0.0
IGHG1,0.3111282682333808,0.05700085583538059,0.07193254521009221,0.16228397959819127,0.0,-0.00221353120365456,0.0,0.0,0.07417498467905012,0.027367276771274224,0.2893815717042787,0.0,0.15154882194884384,0.018616988861325075,0.09123149048093152
TAGLN,0.291947633454732,0.0,0.0,0.13751160949419963,0.0,0.0,0.0,0.0,0.0,0.1697866727557186,0.042048315375544494,0.0,0.0,0.011079989419371942,0.0
SPINK4,0.2919229211497621,0.0,0.0,0.0,0.0,0.24182815746701236,0.0,-0.0029239766081872063,0.0,0.013310920939610065,0.0,0.0,0.0,0.06342248717879284,-0.0026019297292298915
ZG16,0.2883438399072011,0.0,0.0,0.03235883395004131,0.0,0.197729225174048,-0.0016891891891892255,0.0,-0.0037969673197176396,0.0,0.0873236388499535,0.0,0.0,-0.0012051553459101676,-0.0015618490060080785
ITM2C,0.2508081285600733,0.0,-0.016656767858997442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875465579758407,0.0
MMP2,0.24983057941925704,0.0,0.062142179034345005,0.0,0.0,0.0,0.0,0.0,0.050373392751880165,0.0,0.12367350101259356,0.0,0.0683561283797286,0.01976009539378834,0.0
ACTG2,0.24440008649387393,0.0,-0.007517115990236594,0.023004153903609523,-0.0084858927056718,-0.0025453507083206847,0.0,0.0,0.0,0.03652306086564491,0.0,0.0,-0.010302513944306261,-0.003771875917021243,0.0
CXCL10,0.24136486661452078,0.0,0.0,0.19345353110416236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARC,0.23495837538744596,0.0,0.0,0.0,0.019023176322006834,0.0,0.0,0.0,0.0,0.0,0.08067221916599784,0.0,0.0,0.017939220117671652,0.12478750828003549
CLCA1,0.23436063771957477,0.0,-0.0032511531575676587,0.026991411986171474,0.0,0.25265295722701225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12411776042768564,-0.005843005612443926
MUC5B,0.23407669663202282,0.0,0.0,0.0,0.0,0.14860401833488449,0.0,0.0,0.0,0.09465887995595197,0.0,0.0,0.0,0.07045904252385567,0.01270257892077452
FABP1,0.23207264017886262,0.0,0.0,0.0,0.0,0.3267705243487226,0.0,0.0,0.06118412552147578,0.0,0.0,-0.000850106689049369,-0.0016636047103152634,0.02083031449149091,0.0
GUCA2A,0.22575155134135957,0.0,0.0,-0.0005017512738318796,0.0,0.3196505834521039,0.0,0.0,0.05681695931217701,0.0,0.0,0.0,0.0,0.0,0.0
VIM,0.22189242009496257,0.0,0.18058764559121454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06393185650320231,0.0,0.0,0.02947953312674063,0.0
CA1,0.2120072495348126,-0.0028789004335303646,0.0,0.0,0.0,0.2155851095206659,0.0,0.0,0.0,0.0,0.01190816029181923,0.0,0.0,-0.0002433007847967589,0.0
MMP11,0.21157326528997644,0.0,0.0,0.3011776745775846,0.0,-0.0012780740011802648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027001157915342203,0.0
CCL19,0.20571106220345436,0.0,0.0,0.0,0.0,-0.0007214803394248835,0.0,-0.009043987129083284,0.0,0.029339134056077448,0.0,0.0,0.0,-0.0008778893691382305,0.045393763136996314
LEFTY1,0.20448550081761402,0.0,-0.002472253703980167,0.02996316492229026,-0.005091260942692675,0.14898836199673357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925906145305857,-0.007019354073155204
C3,0.2020432596102694,0.07069300396907988,0.0,0.11259789315618361,0.0,-0.0038203124236890493,0.0,0.0,0.09679645162684387,0.03766023284442817,0.1349928532849363,0.0,0.12367346675837748,0.01901193065601732,0.0
CXCR4,0.1979733402664777,0.0,0.0,0.0,-0.0057546593317878815,0.0,0.0,0.0,0.0,0.0,0.07476515303463269,0.0,0.0989083722617744,0.013099755332050824,0.0
CEACAM7,0.19499578988785046,0.0,0.0,0.0,0.0,0.2359960735347432,0.0,0.0,0.07394857737893959,0.0,0.0,0.0,0.0,0.0127450977500542,0.0
TAC1,0.1947347176024979,0.0,0.0,0.049940899625919535,0.2603867759224075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JCHAIN,0.19310941543152282,0.0,0.0,0.07839751081203518,0.0,0.05092100232382054,0.0,0.0,0.07319694029437374,0.08247187754818198,0.23195991320213546,0.0,0.0,0.023011627245650337,0.11458580673023826
MYL9,0.19263468151793256,0.0,-0.0022933239779669673,0.05069485220186133,0.0,-0.006832361869602549,0.0,0.0,0.0,0.10287036335421632,0.019245468007411472,0.0,0.0,0.002599982822903705,0.0
IGHM,0.18309008736418506,0.14710065235698436,0.0,0.08446682272129252,0.0,0.028281580494204258,0.11169389861914686,0.0,0.0,0.0,0.05985049111877489,0.0,0.0,-0.0012730452996538113,0.03857461443949077
CD74,0.18111751250005034,0.0,0.28829913403550683,0.06885700944350741,0.0,0.0,0.0,0.0,0.0,0.0,0.08856240689889225,0.0,0.0,0.024382203446470626,0.0
CKB,0.1714837888242359,-0.005116607118344281,0.038693975866015785,-0.0004964282650745481,0.042755058913385345,0.13779485527138774,0.0,0.0,-0.005478663689411192,-0.0010057741663321356,0.02528301762846358,0.04382175608245512,0.16362380946559585,0.047590846015050994,0.0459580380389805
FN1,0.16306492754478877,0.0,0.0,0.22610807941781846,0.0,0.0,0.0,0.0,0.0,0.11884376780784042,0.0,0.0,0.0,0.013546456259779393,0.0
WFDC2,0.16253824032194092,0.0,-0.0027897505035747033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04466428635226418,-0.0016612126929233552
CHGA,0.15817918126087116,-0.0036399997517539023,0.0,-0.0004852320159131422,0.0,0.10614259358380967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06321880197916066,0.0
DEFA5,0.15675628337172573,0.0,0.0,0.044623340551286694,0.0,-0.0013623898114080604,0.0,0.0,0.029747406867456295,0.0,0.0,0.0,0.0,0.14520229403928286,0.0
TPM2,0.15256735638559263,0.0,-0.010277856616903886,0.0,0.039542979947063656,0.0,0.08900583821847112,0.0,0.0,0.0,0.0,0.0,0.0,0.006860026905937771,0.0
MYLK,0.15087955782655219,0.0,0.0,0.0,-0.009681402822241272,0.0,0.0,-0.003654970760234051,0.0,0.0,0.0,0.0,0.0,0.0019821767209607065,0.0
LUM,0.14902799596901373,0.0,0.0,0.0,0.00018948683438002847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074215410976221545,0.0
ITLN1,0.14802105759119713,0.0,0.0,-0.0002927481085736576,0.0,0.0,0.0,0.0,0.0,0.0,0.023235977109214725,0.0,0.0,0.06803375511556901,-0.0027238683202245933
